g2 dynamics at tau=0, Fock-1 initial state, w=w_dip
t [ps]       g2 [unitless]
3.647610     0.000000    
3.652391     0.000000    
3.657171     0.000000    
3.661952     0.000000    
3.666732     0.000000    
3.671513     0.000000    
3.676294     0.000000    
3.681074     0.000000    
3.685855     0.000000    
3.690635     0.000000    
3.695416     0.000000    
3.700197     0.000000    
3.704977     0.000000    
3.709758     0.000000    
3.714539     0.000000    
3.719319     0.000000    
3.724100     0.000000    
3.728880     0.000000    
3.733661     0.000000    
3.738442     0.000000    
3.743222     0.000000    
3.748003     0.000000    
3.752783     0.000000    
3.757564     0.000000    
3.762345     0.000000    
3.767125     0.000000    
3.771906     0.000000    
3.776687     0.000000    
3.781467     0.000000    
3.786248     0.000000    
3.791028     0.000000    
3.795809     0.000000    
3.800590     0.000000    
3.805370     0.000000    
3.810151     0.000000    
3.814931     0.000000    
3.819712     0.000000    
3.824493     0.000000    
3.829273     0.000000    
3.834054     0.000000    
3.838835     0.000000    
3.843615     0.000000    
3.848396     0.000000    
3.853176     0.000000    
3.857957     0.000000    
3.862738     0.000000    
3.867518     0.000000    
3.872299     0.000000    
3.877079     0.000000    
3.881860     0.000000    
3.886641     0.000000    
3.891421     0.000000    
3.896202     0.000000    
3.900983     0.000000    
3.905763     0.000000    
3.910544     0.000000    
3.915324     0.000000    
3.920105     0.000000    
3.924886     0.000000    
3.929666     0.000000    
3.934447     0.000000    
3.939227     0.000000    
3.944008     0.000000    
3.948789     0.000000    
3.953569     0.000000    
3.958350     0.000000    
3.963131     0.000000    
3.967911     0.000000    
3.972692     0.000000    
3.977472     0.000000    
3.982253     0.000000    
3.987034     0.000000    
3.991814     0.000000    
3.996595     0.000000    
4.001375     0.000000    
4.006156     0.000000    
4.010937     0.000000    
4.015717     0.000000    
4.020498     0.000000    
4.025279     0.000000    
4.030059     0.000000    
4.034840     0.000000    
4.039620     0.000000    
4.044401     0.000000    
4.049182     0.000000    
4.053962     0.000000    
4.058743     0.000000    
4.063523     0.000000    
4.068304     0.000000    
4.073085     0.000000    
4.077865     0.000000    
4.082646     0.000000    
4.087427     0.000000    
4.092207     0.000000    
4.096988     0.000000    
4.101768     0.000000    
4.106549     0.000000    
4.111330     0.000000    
4.116110     0.000000    
4.120891     0.000000    
4.125671     0.000000    
4.130452     0.000000    
4.135233     0.000000    
4.140013     0.000000    
4.144794     0.000000    
4.149575     0.000000    
4.154355     0.000000    
4.159136     0.000000    
4.163916     0.000000    
4.168697     0.000000    
4.173478     0.000000    
4.178258     0.000000    
4.183039     0.000000    
4.187819     0.000000    
4.192600     0.000000    
4.197381     0.000000    
4.202161     0.000000    
4.206942     0.000000    
4.211723     0.000000    
4.216503     0.000000    
4.221284     0.000000    
4.226064     0.000000    
4.230845     0.000000    
4.235626     0.000000    
4.240406     0.000000    
4.245187     0.000000    
4.249967     0.000000    
4.254748     0.000000    
4.259529     0.000000    
4.264309     0.000000    
4.269090     0.000000    
4.273871     0.000000    
4.278651     0.000000    
4.283432     0.000000    
4.288212     0.000000    
4.292993     0.000000    
4.297774     0.000000    
4.302554     0.000000    
4.307335     0.000000    
4.312116     0.000000    
4.316896     0.000000    
4.321677     0.000000    
4.326457     0.000000    
4.331238     0.000000    
4.336019     0.000000    
4.340799     0.000000    
4.345580     0.000000    
4.350360     0.000000    
4.355141     0.000000    
4.359922     0.000000    
4.364702     0.000000    
4.369483     0.000000    
4.374264     0.000000    
4.379044     0.000000    
4.383825     0.000000    
4.388605     0.000000    
4.393386     0.000000    
4.398167     0.000000    
4.402947     0.000000    
4.407728     0.000000    
4.412508     0.000000    
4.417289     0.000000    
4.422070     0.000000    
4.426850     0.000000    
4.431631     0.000000    
4.436412     0.000000    
4.441192     0.000000    
4.445973     0.000000    
4.450753     0.000000    
4.455534     0.000000    
4.460315     0.000000    
4.465095     0.000000    
4.469876     0.000000    
4.474656     0.000000    
4.479437     0.000000    
4.484218     0.000000    
4.488998     0.000000    
4.493779     0.000000    
4.498560     0.000000    
4.503340     0.000000    
4.508121     0.000000    
4.512901     0.000000    
4.517682     0.000000    
4.522463     0.000000    
4.527243     0.000000    
4.532024     0.000000    
4.536804     0.000000    
4.541585     0.000000    
4.546366     0.000000    
4.551146     0.000000    
4.555927     0.000000    
4.560708     0.000000    
4.565488     0.000000    
4.570269     0.000000    
4.575049     0.000000    
4.579830     0.000000    
4.584611     0.000000    
4.589391     0.000000    
4.594172     0.000000    
4.598952     0.000000    
4.603733     0.000000    
4.608514     0.000000    
4.613294     0.000000    
4.618075     0.000000    
4.622856     0.000000    
4.627636     0.000000    
4.632417     0.000000    
4.637197     0.000000    
4.641978     0.000000    
4.646759     0.000000    
4.651539     0.000000    
4.656320     0.000000    
4.661100     0.000000    
4.665881     0.000000    
4.670662     0.000000    
4.675442     0.000000    
4.680223     0.000000    
4.685004     0.000000    
4.689784     0.000000    
4.694565     0.000000    
4.699345     0.000000    
4.704126     0.000000    
4.708907     0.000000    
4.713687     0.000000    
4.718468     0.000000    
4.723248     0.000000    
4.728029     0.000000    
4.732810     0.000000    
4.737590     0.000000    
4.742371     0.000000    
4.747152     0.000000    
4.751932     0.000000    
4.756713     0.000000    
4.761493     0.000000    
4.766274     0.000000    
4.771055     0.000000    
4.775835     0.000000    
4.780616     0.000000    
4.785396     0.000000    
4.790177     0.000000    
4.794958     0.000000    
4.799738     0.000000    
4.804519     0.000000    
4.809300     0.000000    
4.814080     0.000000    
4.818861     0.000000    
4.823641     0.000000    
4.828422     0.000000    
4.833203     0.000000    
4.837983     0.000000    
4.842764     0.000000    
4.847544     0.000000    
4.852325     0.000000    
4.857106     0.000000    
4.861886     0.000000    
4.866667     0.000000    
4.871448     0.000000    
4.876228     0.000000    
4.881009     0.000000    
4.885789     0.000000    
4.890570     0.000000    
4.895351     0.000000    
4.900131     0.000000    
4.904912     0.000000    
4.909692     0.000000    
4.914473     0.000000    
4.919254     0.000000    
4.924034     0.000000    
4.928815     0.000000    
4.933596     0.000000    
4.938376     0.000000    
4.943157     0.000000    
4.947937     0.000000    
4.952718     0.000000    
4.957499     0.000000    
4.962279     0.000000    
4.967060     0.000000    
4.971840     0.000000    
4.976621     0.000000    
4.981402     0.000000    
4.986182     0.000000    
4.990963     0.000000    
4.995744     0.000000    
5.000524     0.000000    
5.005305     0.000000    
5.010085     0.000000    
5.014866     0.000000    
5.019647     0.000000    
5.024427     0.000000    
5.029208     0.000000    
5.033988     0.000000    
5.038769     0.000000    
5.043550     0.000000    
5.048330     0.000000    
5.053111     0.000000    
5.057892     0.000000    
5.062672     0.000000    
5.067453     0.000000    
5.072233     0.000000    
5.077014     0.000000    
5.081795     0.000000    
5.086575     0.000000    
5.091356     0.000000    
5.096137     0.000000    
5.100917     0.000000    
5.105698     0.000000    
5.110478     0.000000    
5.115259     0.000000    
5.120040     0.000000    
5.124820     0.000000    
5.129601     0.000000    
5.134381     0.000000    
5.139162     0.000000    
5.143943     0.000000    
5.148723     0.000000    
5.153504     0.000000    
5.158285     0.000000    
5.163065     0.000000    
5.167846     0.000000    
5.172626     0.000000    
5.177407     0.000000    
5.182188     0.000000    
5.186968     0.000000    
5.191749     0.000000    
5.196529     0.000000    
5.201310     0.000000    
5.206091     0.000000    
5.210871     0.000000    
5.215652     0.000000    
5.220433     0.000000    
5.225213     0.000000    
5.229994     0.000000    
5.234774     0.000000    
5.239555     0.000000    
5.244336     0.000000    
5.249116     0.000000    
5.253897     0.000000    
5.258677     0.000000    
5.263458     0.000000    
5.268239     0.000000    
5.273019     0.000000    
5.277800     0.000000    
5.282581     0.000000    
5.287361     0.000000    
5.292142     0.000000    
5.296922     0.000000    
5.301703     0.000000    
5.306484     0.000000    
5.311264     0.000000    
5.316045     0.000000    
5.320825     0.000000    
5.325606     0.000000    
5.330387     0.000000    
5.335167     0.000000    
5.339948     0.000000    
5.344729     0.000000    
5.349509     0.000000    
5.354290     0.000000    
5.359070     0.000000    
5.363851     0.000000    
5.368632     0.000000    
5.373412     0.000000    
5.378193     0.000000    
5.382973     0.000000    
5.387754     0.000000    
5.392535     0.000000    
5.397315     0.000000    
5.402096     0.000000    
5.406877     0.000000    
5.411657     0.000000    
5.416438     0.000000    
5.421218     0.000000    
5.425999     0.000000    
5.430780     0.000000    
5.435560     0.000000    
5.440341     0.000000    
5.445121     0.000000    
5.449902     0.000000    
5.454683     0.000000    
5.459463     0.000000    
5.464244     0.000000    
5.469025     0.000000    
5.473805     0.000000    
5.478586     0.000000    
5.483366     0.000000    
5.488147     0.000000    
5.492928     0.000000    
5.497708     0.000000    
5.502489     0.000000    
5.507269     0.000000    
5.512050     0.000000    
5.516831     0.000000    
5.521611     0.000000    
5.526392     0.000000    
5.531173     0.000000    
5.535953     0.000000    
5.540734     0.000000    
5.545514     0.000000    
5.550295     0.000000    
5.555076     0.000000    
5.559856     0.000000    
5.564637     0.000000    
5.569417     0.000000    
5.574198     0.000000    
5.578979     0.000000    
5.583759     0.000000    
5.588540     0.000000    
5.593321     0.000000    
5.598101     0.000000    
5.602882     0.000000    
5.607662     0.000000    
5.612443     0.000000    
5.617224     0.000000    
5.622004     0.000000    
5.626785     0.000000    
5.631565     0.000000    
5.636346     0.000000    
5.641127     0.000000    
5.645907     0.000000    
5.650688     0.000000    
5.655469     0.000000    
5.660249     0.000000    
5.665030     0.000000    
5.669810     0.000000    
5.674591     0.000000    
5.679372     0.000000    
5.684152     0.000000    
5.688933     0.000000    
5.693713     0.000000    
5.698494     0.000000    
5.703275     0.000000    
5.708055     0.000000    
5.712836     0.000000    
5.717617     0.000000    
5.722397     0.000000    
5.727178     0.000000    
5.731958     0.000000    
5.736739     0.000000    
5.741520     0.000000    
5.746300     0.000000    
5.751081     0.000000    
5.755861     0.000000    
5.760642     0.000000    
5.765423     0.000000    
5.770203     0.000000    
5.774984     0.000000    
5.779765     0.000000    
5.784545     0.000000    
5.789326     0.000000    
5.794106     0.000000    
5.798887     0.000000    
5.803668     0.000000    
5.808448     0.000000    
5.813229     0.000000    
5.818009     0.000000    
5.822790     0.000000    
5.827571     0.000000    
5.832351     0.000000    
5.837132     0.000000    
5.841913     0.000000    
5.846693     0.000000    
5.851474     0.000000    
5.856254     0.000000    
5.861035     0.000000    
5.865816     0.000000    
5.870596     0.000000    
5.875377     0.000000    
5.880158     0.000000    
5.884938     0.000000    
5.889719     0.000000    
5.894499     0.000000    
5.899280     0.000000    
5.904061     0.000000    
5.908841     0.000000    
5.913622     0.000000    
5.918402     0.000000    
5.923183     0.000000    
5.927964     0.000000    
5.932744     0.000000    
5.937525     0.000000    
5.942306     0.000000    
5.947086     0.000000    
5.951867     0.000000    
5.956647     0.000000    
5.961428     0.000000    
5.966209     0.000000    
5.970989     0.000000    
5.975770     0.000000    
5.980550     0.000000    
