g2 dynamics at tau=0, vacuum initial state, w=w_dip
t [ps]       g2 [1]      
3.462287     1.000638    
3.466819     1.000636    
3.471350     1.000630    
3.475882     1.000633    
3.480414     1.000630    
3.484946     1.000632    
3.489478     1.000628    
3.494009     1.000625    
3.498541     1.000624    
3.503073     1.000627    
3.507605     1.000624    
3.512137     1.000625    
3.516668     1.000627    
3.521200     1.000920    
3.525732     1.000814    
3.530264     1.000621    
3.534796     1.000617    
3.539327     1.000616    
3.543859     1.000614    
3.548391     1.000616    
3.552923     1.000360    
3.557454     1.000615    
3.561986     1.000613    
3.566518     1.000609    
3.571050     1.000840    
3.575582     1.000608    
3.580113     1.000607    
3.584645     1.000605    
3.589177     1.000609    
3.593709     1.000610    
3.598241     1.000606    
3.602772     1.000605    
3.607304     1.000604    
3.611836     1.000605    
3.616368     1.000601    
3.620900     1.000604    
3.625431     1.000603    
3.629963     1.000599    
3.634495     1.000597    
3.639027     1.000598    
3.643558     1.000596    
3.648090     1.000597    
3.652622     1.000594    
3.657154     1.000593    
3.661686     1.000592    
3.666217     1.000591    
3.670749     1.000590    
3.675281     1.000589    
3.679813     1.000588    
3.684345     1.000587    
3.688876     1.000586    
3.693408     1.000585    
3.697940     1.000586    
3.702472     1.000583    
3.707004     1.000583    
3.711535     1.000580    
3.716067     1.000583    
3.720599     1.000581    
3.725131     1.000582    
3.729662     1.000579    
3.734194     1.000576    
3.738726     1.000576    
3.743258     1.000573    
3.747790     1.000575    
3.752321     1.000573    
3.756853     1.000569    
3.761385     1.000571    
3.765917     1.000572    
3.770449     1.000567    
3.774980     1.000567    
3.779512     1.000566    
3.784044     1.000247    
3.788576     1.000809    
3.793108     1.000712    
3.797639     1.000775    
3.802171     1.000555    
3.806703     1.000560    
3.811235     1.000558    
3.815766     1.000555    
3.820298     1.000551    
3.824830     1.000553    
3.829362     1.000550    
3.833894     1.000550    
3.838425     1.000550    
3.842957     1.000549    
3.847489     1.000550    
3.852021     1.000546    
3.856553     1.000545    
3.861084     1.000546    
3.865616     1.000543    
3.870148     1.000541    
3.874680     1.000541    
3.879212     1.000541    
3.883743     1.000765    
3.888275     1.000542    
3.892807     1.000540    
3.897339     1.000262    
3.901870     1.000537    
3.906402     1.000537    
3.910934     1.000535    
3.915466     1.000537    
3.919998     1.000532    
3.924529     1.000535    
3.929061     1.000533    
3.933593     1.000781    
3.938125     1.000531    
3.942657     1.000531    
3.947188     1.000530    
3.951720     1.000527    
3.956252     1.000525    
3.960784     1.000526    
3.965316     1.000527    
3.969847     1.000297    
3.974379     1.000521    
3.978911     1.000522    
3.983443     1.000763    
3.987974     1.000519    
3.992506     1.000518    
3.997038     1.000517    
4.001570     1.000519    
4.006102     1.000514    
4.010633     1.000513    
4.015165     1.000515    
4.019697     1.000512    
4.024229     1.000510    
4.028761     1.000512    
4.033292     1.000511    
4.037824     1.000511    
4.042356     1.000506    
4.046888     1.000505    
4.051419     1.000504    
4.055951     1.000506    
4.060483     1.000507    
4.065015     1.000314    
4.069547     1.000506    
4.074078     1.000371    
4.078610     1.000281    
4.083142     1.000681    
4.087674     1.000497    
4.092206     1.000497    
4.096737     1.000495    
4.101269     1.000496    
4.105801     1.000495    
4.110333     1.000654    
4.114865     1.000491    
4.119396     1.000491    
4.123928     1.000689    
4.128460     1.000489    
4.132992     1.000489    
4.137523     1.000488    
4.142055     1.000273    
4.146587     1.000489    
4.151119     1.000487    
4.155651     1.000486    
4.160182     1.000486    
4.164714     1.000485    
4.169246     1.000350    
4.173778     1.000273    
4.178310     1.000481    
4.182841     1.000478    
4.187373     1.000479    
4.191905     1.000477    
4.196437     1.000475    
4.200969     1.000477    
4.205500     1.000476    
4.210032     1.000474    
4.214564     1.000320    
4.219096     1.000475    
4.223627     1.000473    
4.228159     1.000473    
4.232691     1.000471    
4.237223     1.000315    
4.241755     1.000470    
4.246286     1.000469    
4.250818     1.000467    
4.255350     1.000283    
4.259882     1.000467    
4.264414     1.000467    
4.268945     1.000650    
4.273477     1.000466    
4.278009     1.000464    
4.282541     1.000462    
4.287073     1.000461    
4.291604     1.000295    
4.296136     1.000461    
4.300668     1.000459    
4.305200     1.000640    
4.309731     1.000459    
4.314263     1.000281    
4.318795     1.000455    
4.323327     1.000457    
4.327859     1.000454    
4.332390     1.000278    
4.336922     1.000454    
4.341454     1.000451    
4.345986     1.000580    
4.350518     1.000452    
4.355049     1.000448    
4.359581     1.000328    
4.364113     1.000446    
4.368645     1.000446    
4.373177     1.000447    
4.377708     1.000445    
4.382240     1.000584    
4.386772     1.000445    
4.391304     1.000444    
4.395835     1.000441    
4.400367     1.000442    
4.404899     1.000319    
4.409431     1.000438    
4.413963     1.000439    
4.418494     1.000597    
4.423026     1.000435    
4.427558     1.000270    
4.432090     1.000436    
4.436622     1.000433    
